local_date_,Coordinate_Group_,Local_Time_Min,Max_Brightness,Mean_Brightness,Max_Confidence,Mean_Confidence,FRP,Day_Night,Time_Period,Total_Fire_Incidents,FRP_Bin
7/5/15,South-East,2:27:00,326,317.625,100,92.5,25.6,N,Early Morning,4,20-40
7/6/15,North-Central,14:13:00,343.6,343.6,90,90,43.1,D,Afternoon,1,40-60
7/6/15,South-East,14:11:00,341.5,341.5,82,82,18.8,D,Afternoon,1,0-20
7/7/15,Central-Central,11:40:00,331,331,82,82,38.5,D,Morning,1,20-40
7/7/15,South-East,11:41:00,347.5,347.5,90,90,38.8,D,Morning,1,20-40
7/8/15,South-East,13:59:00,353.7,345.8,95,86.8,37.4,D,Afternoon,5,20-40
7/9/15,Central-East,22:30:00,317.9,317.9,96,96,18.7,N,Night,1,0-20
7/9/15,South-East,11:29:00,358.1,344.5,98,88.2,83.2,D,Morning,5,80-100
7/10/15,South-East,2:46:00,391.4,354.79999999999995,100,98,209.2,N,Early Morning,2,200-220
7/11/15,South-East,11:16:00,337,335.05,85,83,28.5,D,Morning,2,20-40
7/12/15,South-East,13:35:00,375,335,100,88,463.6,D,Afternoon,4,460-480
7/13/15,North-Central,14:19:00,336.8,336.8,81,81,23.3,D,Afternoon,1,20-40
7/13/15,South-East,11:04:00,342,342,85,85,67.4,D,Morning,1,60-80
7/14/15,Central-East,11:46:00,350.6,350.6,94,94,47.8,D,Morning,1,40-60
7/14/15,South-East,11:47:00,352.5,336.975,94,85.25,57.1,D,Morning,4,40-60
7/15/15,Central-East,14:06:00,362.3,350.55,100,91,75.4,D,Afternoon,2,60-80
7/15/15,North-East,14:07:00,350.8,350.8,92,92,54,D,Afternoon,1,40-60
7/15/15,South-East,14:05:00,342.1,341.5,83,82,23.7,D,Afternoon,2,20-40
7/16/15,North-Central,14:50:00,334.7,334.7,82,82,88.8,D,Afternoon,1,80-100
7/16/15,South-East,11:35:00,349.6,349.6,91,91,39.3,D,Morning,1,20-40
7/17/15,South-East,13:53:00,384.3,360.5,100,95.5,326.8,D,Afternoon,4,320-340
7/18/15,South-East,3:34:00,319.8,319.15,99,98,139.4,N,Early Morning,2,120-140
7/19/15,Central-Central,2:38:00,328.7,321.79999999999995,100,95,66.7,N,Early Morning,2,60-80
7/20/15,South-East,11:10:00,346.8,346.8,90,90,59.7,D,Morning,1,40-60
7/21/15,South-East,13:28:00,358,350.6666666666667,98,91.33333333333333,148.6,D,Afternoon,3,140-160
7/22/15,Central-Central,14:12:00,341.6,341.6,88,88,31.5,D,Afternoon,1,20-40
7/22/15,North-Central,14:13:00,384.8,359,100,97,408.2,N,Night,5,400-420
